zipcode,PERCENT PACIFIC ISLANDER,PERCENT HISPANIC LATINO,PERCENT AMERICAN INDIAN,PERCENT ASIAN NON HISPANIC,PERCENT WHITE NON HISPANIC,PERCENT BLACK NON HISPANIC,PERCENT OTHER ETHNICITY,PERCENT ETHNICITY UNKNOWN,PERCENT ETHNICITY TOTAL,PERCENT PERMANENT RESIDENT ALIEN,PERCENT US CITIZEN,PERCENT OTHER CITIZEN STATUS,PERCENT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS TOTAL,PERCENT RECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,PERCENT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE TOTAL
11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11101,0,0,0,1,0,0,0,0,100,0,1,0,0,100,0,1,0,100
11102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11201,0,0.18,0,0.09,0.09,0.45,0.18,0,99,0,1,0,0,100,0.18,0.82,0,100
11202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11203,0,0.13,0,0.07,0.13,0.53,0.13,0,99,0.07,0.93,0,0,100,0.07,0.93,0,100
11204,0,0,0,0,0.97,0,0.03,0,100,0.03,0.97,0,0,100,0.51,0.49,0,100
11205,0,0,0,0,0.8,0,0.2,0,100,0,1,0,0,100,0.6,0.4,0,100
11206,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.69,0.31,0,100
11207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11210,0,0,0,0,0.92,0,0.08,0,100,0,1,0,0,100,0.31,0.69,0,100
11211,0,0.06,0,0.03,0.82,0.03,0.06,0,100,0,1,0,0,100,0.65,0.35,0,100
11212,0,0.1,0,0.1,0,0.7,0.1,0,100,0.1,0.9,0,0,100,0,1,0,100
11213,0,0,0,0,0.84,0,0.16,0,100,0.03,0.97,0,0,100,0.26,0.74,0,100
11214,0,0,0,0.5,0.4,0.1,0,0,100,0,1,0,0,100,0.2,0.8,0,100
11215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11218,0,0.01,0,0.03,0.86,0.05,0.05,0,100,0.07,0.92,0.01,0,100,0.46,0.54,0,100
11219,0,0,0,0,0.96,0,0.03,0,99,0.01,0.99,0,0,100,0.52,0.48,0,100
11220,0,0,0,0.13,0.75,0,0.13,0,100,0,1,0,0,100,0.63,0.38,0,100
11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11223,0,0.01,0,0.06,0.87,0.01,0.05,0,100,0.06,0.94,0.01,0,100,0.18,0.82,0,100
11224,0,0.15,0,0.08,0.04,0.65,0.09,0,100,0.06,0.92,0.01,0,99,0.3,0.7,0,100
11225,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.42,0.58,0,100
11226,0,0.6,0,0,0,0.4,0,0,100,0,1,0,0,100,0.4,0.6,0,100
11228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11229,0,0.04,0,0.1,0.75,0.04,0.06,0.02,100,0.06,0.94,0,0,100,0.1,0.9,0,100
11230,0,0,0,0.03,0.87,0.01,0.07,0.02,100,0.01,0.99,0,0,100,0.17,0.83,0,100
11231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11233,0,0,0,0,0.29,0.64,0.07,0,100,0,1,0,0,100,0.36,0.64,0,100
11234,0,0.14,0,0,0.63,0.17,0.07,0,100,0.02,0.98,0,0,100,0.03,0.97,0,100
11235,0,0.14,0,0.08,0.72,0.04,0.02,0,100,0.02,0.96,0.02,0,100,0.08,0.92,0,100
11236,0,0,0,0,0.14,0.71,0,0.14,99,0.29,0.71,0,0,100,0,1,0,100
11237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11354,0,0.5,0,0,0,0,0.5,0,100,1,0,0,0,100,0,1,0,100
11355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11368,0,0.6,0,0.2,0.2,0,0,0,100,0.2,0.8,0,0,100,0,1,0,100
